FIN-ID #,ORGANIZATION,NAME OF EVENT,DATE,VENUE,AWARDED,TRANSACTION ID,UPDATED,
22251,Video Game Development Club (VGDC) at UC San Diego,Triton-Ware Fall Kickoff 2024,20241004T00:00:00Z                 10/04/2024 12:00 AM,"Price Center, Red Shoe Room + Bear Room",$319.21,,20240903T15:25:47Z                     9/3/2024 3:25:47 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22252,Data Science Student Society,DS3 Fall GBM,20241008T00:00:00Z                 10/08/2024 12:00 AM,Student Services Center - Multi Purpose Room,"$1,925.00",,20240903T16:00:22Z                     9/3/2024 4:00:22 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22253,NanoEngineering and Technology Society,NETS Fall GBM,20241007T00:00:00Z                 10/07/2024 12:00 AM,SME 248,$328.64,,20240903T16:07:50Z                     9/3/2024 4:07:50 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22254,Pilipino Undergraduate Society for Health,PUSH GBM #1,20241010T00:00:00Z                 10/10/2024 12:00 AM,Price Center Governance Chambers,$82.88,,20240903T16:11:55Z                     9/3/2024 4:11:55 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22255,American Medical Student Association,Renee Long,20241001T00:00:00Z                 10/01/2024 12:00 AM,Price Center - Forum,$595.00,,20240829T14:00:11Z                     8/29/2024 2:00:11 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22256,American Medical Student Association,GBM 2 Fall 2024,20241015T00:00:00Z                 10/15/2024 12:00 AM,Price Center -  Ballroom West A,$595.00,,20240903T16:47:45Z                     9/3/2024 4:47:45 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22257,"Brain Exercise Initiative, The",BEI 2024 Fall Quarter GBM,20241009T00:00:00Z                 10/09/2024 12:00 AM,PC West Green Table Room,$338.07,,20240903T16:08:01Z                     9/3/2024 4:08:01 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22258,Pre-Medical APAMSA at UC San Diego,Game Night Social,20241015T00:00:00Z                 10/15/2024 12:00 AM,PC West Bear Room,$349.43,,20240903T16:48:00Z                     9/3/2024 4:48:00 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22259,Muslim Student Association,Welcome Back Dinner,20240924T00:00:00Z                 09/24/2024 12:00 AM,Multipurpose Room,"$1,752.15",,20240829T20:57:45Z                     8/29/2024 8:57:45 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22260,Video Game Development Club (VGDC) at UC San Diego,Fall GBM 2024,20241003T00:00:00Z                 10/03/2024 12:00 AM,Computer Science & Engineering Building - CSE1202,$600.00,,20240903T15:23:00Z                     9/3/2024 3:23:00 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22261,Majiang at UC San Diego,Majiang Halloween Social Night,20241031T00:00:00Z                 10/31/2024 12:00 AM,PC East Ballroom,"$2,000.00",,20240929T17:41:56Z                     9/29/2024 5:41:56 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22264,Association for Computing Machinery (ACM),Resume Review,20241002T00:00:00Z                 10/02/2024 12:00 AM,Qualcomm Room,$595.00,,20240924T17:15:17Z                     9/24/2024 5:15:17 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22265,Association for Computing Machinery (ACM),Summer Projects Showcase,20241003T00:00:00Z                 10/03/2024 12:00 AM,SME ASML Room,$595.00,,20240924T17:18:07Z                     9/24/2024 5:18:07 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22266,Association for Computing Machinery (ACM),Internship Hunting 101 Panel,20241004T00:00:00Z                 10/04/2024 12:00 AM,Qualcomm Room,$595.00,,20240924T17:16:03Z                     9/24/2024 5:16:03 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22267,Association for Computing Machinery (ACM),Software Engineering 101,20241008T00:00:00Z                 10/08/2024 12:00 AM,SME ASML Room,$595.00,,20240924T17:18:33Z                     9/24/2024 5:18:33 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22268,Association for Computing Machinery (ACM),AI Welcome Night,20241009T00:00:00Z                 10/09/2024 12:00 AM,SME ASML Room,$595.00,,20240924T17:18:41Z                     9/24/2024 5:18:41 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22269,Association for Computing Machinery (ACM),Designing Success: Exploring Roles in UX,20241010T00:00:00Z                 10/10/2024 12:00 AM,SME ASML Room,$595.00,,20240924T17:18:50Z                     9/24/2024 5:18:50 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22270,Association for Computing Machinery (ACM),Internship Hunting 101: Cracking the Coding Interview,20241014T00:00:00Z                 10/14/2024 12:00 AM,SME ASML Room,$340.00,,20241006T23:12:28Z                     10/6/2024 11:12:28 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22271,Association for Computing Machinery (ACM),Hack School 1: HTML & CSS,20241015T00:00:00Z                 10/15/2024 12:00 AM,Qualcomm Room,$595.00,,20240924T17:19:02Z                     9/24/2024 5:19:02 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22272,Association for Computing Machinery (ACM),AI School #1,20241016T00:00:00Z                 10/16/2024 12:00 AM,SME ASML Room,$340.00,,20240913T16:38:10Z                     9/13/2024 4:38:10 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22275,Association for Computing Machinery (ACM),Career Insights with Design Pros,20241021T00:00:00Z                 10/21/2024 12:00 AM,Qualcomm Room,$340.00,,20241006T23:18:36Z                     10/6/2024 11:18:36 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22276,Association for Computing Machinery (ACM),Hack School #2: Javascript,20241022T00:00:00Z                 10/22/2024 12:00 AM,Qualcomm Room,$155.00,,20240913T16:44:12Z                     9/13/2024 4:44:12 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22277,Association for Computing Machinery (ACM),Bucket List + Bucket Hats,20241023T00:00:00Z                 10/23/2024 12:00 AM,Qualcomm Room,$74.00,,20241006T23:20:55Z                     10/6/2024 11:20:55 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22278,Association for Computing Machinery (ACM),Bit-Byte Meet the Tree,20241024T00:00:00Z                 10/24/2024 12:00 AM,Qualcomm Room,$340.00,,20241006T23:23:05Z                     10/6/2024 11:23:05 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22280,Association for Computing Machinery (ACM),ACM Tricks and Treats (but mostly treats),20241031T00:00:00Z                 10/31/2024 12:00 AM,Qualcomm Room,$310.00,,20241012T11:09:21Z                     10/12/2024 11:09:21 AM,Final                                                                                                                                      Details
22282,Association for Computing Machinery (ACM),Fall Kickoff,20240930T00:00:00Z                 09/30/2024 12:00 AM,PC West Ballroom,"$4,499.66",,20240903T15:08:38Z                     9/3/2024 3:08:38 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22283,Anime & Manga Enthusiasts at UC San Diego,Fall GBM 1,20241004T00:00:00Z                 10/04/2024 12:00 AM,Multi Purpose Room,$120.00,,20240903T15:26:00Z                     9/3/2024 3:26:00 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22284,Biological Sciences Student Association,Research Roundup,20241015T00:00:00Z                 10/15/2024 12:00 AM,Bonner Hall 2130,$307.09,,20240903T16:48:13Z                     9/3/2024 4:48:13 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22285,Biological Sciences Student Association,Dine with a PI,20241022T00:00:00Z                 10/22/2024 12:00 AM,The Forum,$350.00,,20240903T17:40:06Z                     9/3/2024 5:40:06 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22286,Association for Computing Machinery (ACM),Cyber Kickoff,20241007T00:00:00Z                 10/07/2024 12:00 AM,Henry Booker Room,$595.00,,20240924T17:16:08Z                     9/24/2024 5:16:08 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22287,Association for Computing Machinery (ACM),Pitch Tank Workshop,20241025T00:00:00Z                 10/25/2024 12:00 AM,Henry Booker Room,$150.00,,20241006T23:33:46Z                     10/6/2024 11:33:46 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22289,Muslim Student Association,Welcome Back Lunch,20240925T00:00:00Z                 09/25/2024 12:00 AM,"ERC Room, Marshall College Room",$590.47,,20240829T20:59:31Z                     8/29/2024 8:59:31 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22291,Chinese Union,Chinese Union Fall 2024 Opening Ceremony,20240924T00:00:00Z                 09/24/2024 12:00 AM,Epstein Family Amphitheater,"$7,931.74",,20240829T13:35:30Z                     8/29/2024 1:35:30 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22292,American Chemical Society Student Affiliates (ACSSA),Week 3 GBM,20241016T00:00:00Z                 10/16/2024 12:00 AM,Natural Sciences Building,$599.99,,20240903T17:32:46Z                     9/3/2024 5:32:46 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22293,American Chemical Society Student Affiliates (ACSSA),Week 5 GBM,20241030T00:00:00Z                 10/30/2024 12:00 AM,Natural Sciences Building,$599.99,,20240526T17:37:45Z                     5/26/2024 5:37:45 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22294,NanoEngineering and Technology Society,NETS Big/Little Mixer,20241017T00:00:00Z                 10/17/2024 12:00 AM,The Forum,$343.80,,20240903T17:34:15Z                     9/3/2024 5:34:15 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22298,Biological Sciences Student Association,BSSA Fall GBM,20241009T00:00:00Z                 10/09/2024 12:00 AM,Price Center Theater,$320.30,,20240903T16:08:15Z                     9/3/2024 4:08:15 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22299,NanoEngineering and Technology Society,Nanoengineering Freshman Social,20241010T00:00:00Z                 10/10/2024 12:00 AM,Sun God Lawn,$350.00,,20240903T16:12:05Z                     9/3/2024 4:12:05 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22300,Pre-Pharmacy Society @ UC San Diego,Meet the Board Game Night,20241002T00:00:00Z                 10/02/2024 12:00 AM,Price Center ERC Room,$41.42,,20240903T15:18:49Z                     9/3/2024 3:18:49 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22303,Rocket Propulsion Laboratory,Fall 2024 GBM,20241008T00:00:00Z                 10/08/2024 12:00 AM,Price Center Forum,$352.00,,20240903T16:00:36Z                     9/3/2024 4:00:36 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22305,Sports Medicine Association at UC San Diego,GBM,20241009T00:00:00Z                 10/09/2024 12:00 AM,Price Center Bear Room,$216.58,,20240903T16:08:27Z                     9/3/2024 4:08:27 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22306,Sports Medicine Association at UC San Diego,GBM,20241023T00:00:00Z                 10/23/2024 12:00 AM,Green Table Room (Price Center),$214.42,,20240903T17:41:11Z                     9/3/2024 5:41:11 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22307,Graphite,Week 0 GBM,20240927T00:00:00Z                 09/27/2024 12:00 AM,NSB Auditorium,$163.18,,20240829T13:36:10Z                     8/29/2024 1:36:10 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22308,Triton Quantitative Trading,Anuj Jain,20241003T00:00:00Z                 10/03/2024 12:00 AM,Price Center Forum,$582.57,,20240529T19:33:33Z                     5/29/2024 7:33:33 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22309,Triton Quantitative Trading,TQT Launch,20241010T00:00:00Z                 10/10/2024 12:00 AM,Price Center Ballroom West B,$589.31,,20240529T19:50:52Z                     5/29/2024 7:50:52 PM,Final                                                                                                                                      Details
22310,Pre-Pharmacy Society @ UC San Diego,Study Jam #1,20241023T00:00:00Z                 10/23/2024 12:00 AM,Price Center ERC Room,$41.42,,20240903T17:41:31Z                     9/3/2024 5:41:31 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22311,Pre-Pharmacy Society @ UC San Diego,Why Pharmacy GBM,20241009T00:00:00Z                 10/09/2024 12:00 AM,Price Center ERC Room,$115.21,,20240903T16:08:58Z                     9/3/2024 4:08:58 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22314,"Brain Exercise Initiative, The",BEI 2024 Fall Quarter Social,20241017T00:00:00Z                 10/17/2024 12:00 AM,PC West Green Table Room,$338.07,,20240903T17:34:27Z                     9/3/2024 5:34:27 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22315,Society of Asian Scientists and Engineers at UC San Diego,SASE Info Session,20241004T00:00:00Z                 10/04/2024 12:00 AM,SME 248 ASML Conference Center,$600.00,,20240903T15:26:15Z                     9/3/2024 3:26:15 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22316,Data Science Student Society,DS3 Alumni Panel,20241017T00:00:00Z                 10/17/2024 12:00 AM,Price Center - Red Shoe Room,$595.00,,20240903T17:34:40Z                     9/3/2024 5:34:40 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22317,Data Science Student Society,DS3 Icebreakers,20241030T00:00:00Z                 10/30/2024 12:00 AM,Price Center - Warren College Room,$595.00,,20240903T17:48:34Z                     9/3/2024 5:48:34 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22318,Pre-Pharmacy Society @ UC San Diego,UCSF GBM,20241106T00:00:00Z                 11/06/2024 12:00 AM,Price Center ERC Room,$115.21,,20240918T08:51:17Z                     9/18/2024 8:51:17 AM,Final                                                                                                                                      Details                                                                                         Post-Eval
22319,Graphite,week 1 gbm,20241001T00:00:00Z                 10/01/2024 12:00 AM,NSB Auditorium,$163.18,,20240829T14:00:33Z                     8/29/2024 2:00:33 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22320,graphite,week 2 gbm,20241008T00:00:00Z                 10/08/2024 12:00 AM,NSB atrium,$163.27,,20240903T16:00:53Z                     9/3/2024 4:00:53 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22321,graphite,week 3 gbm,20241015T00:00:00Z                 10/15/2024 12:00 AM,NSB atrium,$163.18,,20240903T16:48:37Z                     9/3/2024 4:48:37 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22322,Graphite,Week 4 gbm,20241022T00:00:00Z                 10/22/2024 12:00 AM,NSB atrium,$163.18,,20240903T17:40:33Z                     9/3/2024 5:40:33 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22324,Asian American Christian Fellowship,Week 0 Game Night,20240926T00:00:00Z                 09/26/2024 12:00 AM,Stage Room,$407.30,,20240530T09:42:46Z                     5/30/2024 9:42:46 AM,Final                                                                                                                                      Details                                                                                         Post-Eval
22325,NanoEngineering and Technology Society,NETS Project Showcase,20241021T00:00:00Z                 10/21/2024 12:00 AM,SME 248,$316.00,,20240903T17:39:31Z                     9/3/2024 5:39:31 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22326,NanoEngineering and Technology Society,NETS Freshman Social,20241010T00:00:00Z                 10/10/2024 12:00 AM,Sun God Lawn,$344.80,,20240903T16:12:18Z                     9/3/2024 4:12:18 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22327,Society of Women Engineers (SWE),SWE Fall GBM #2,20241029T00:00:00Z                 10/29/2024 12:00 AM,Qualcomm Room in Jacobs Hall,$470.27,,20240903T17:46:26Z                     9/3/2024 5:46:26 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22329,Eta Kappa Nu (HKN),HKN Officer Speed Networking,20241030T00:00:00Z                 10/30/2024 12:00 AM,Price Center Marshall Room,$242.50,,20240903T17:48:43Z                     9/3/2024 5:48:43 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22331,Catalyst at UC San Diego,Careers in Research - Guest Panel,20241030T00:00:00Z                 10/30/2024 12:00 AM,Dolores Huerta Meeting Room,$296.31,,20240903T17:48:52Z                     9/3/2024 5:48:52 PM,Final                                                                                                                                      Details
22332,Society of Asian Scientists and Engineers at UC San Diego,SASE GBM 1,20241011T00:00:00Z                 10/11/2024 12:00 AM,SME 248 ASML Conference Center,$600.00,,20240903T16:50:54Z                     9/3/2024 4:50:54 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22333,Society of Asian Scientists and Engineers at UC San Diego,Jerrad Marcus Lardizabal Galano,20241030T00:00:00Z                 10/30/2024 12:00 AM,SME 248 ASML Conference Center,$600.00,,20240903T17:49:05Z                     9/3/2024 5:49:05 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22334,Society of Asian Scientists and Engineers at UC San Diego,SASE GBM 1,20241010T00:00:00Z                 10/10/2024 12:00 AM,Price Center Bear Room,$350.00,,20240903T16:12:29Z                     9/3/2024 4:12:29 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22337,Institute of Electrical and Electronics Engineers (IEEE),IEEE Quarterly Project Kickoff,20241011T00:00:00Z                 10/11/2024 12:00 AM,Qualcomm Conference Center,$597.75,,20240903T16:51:06Z                     9/3/2024 4:51:06 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22338,American Medical Student Association,GBM 3 Fall 2024,20241029T00:00:00Z                 10/29/2024 12:00 AM,Stage Room & Patio,$595.00,,20240903T17:46:34Z                     9/3/2024 5:46:34 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22341,Chinese Engineering Society,Jane Li,20241008T00:00:00Z                 10/08/2024 12:00 AM,Red Shoe Room,$350.00,,20240903T16:01:06Z                     9/3/2024 4:01:06 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22342,Chinese Engineering Society,CES All Hands Meeting,20241024T00:00:00Z                 10/24/2024 12:00 AM,Student Center - Dolores Huerta - Philip Vera Cruz Room,$350.00,,20240903T17:42:41Z                     9/3/2024 5:42:41 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22344,Association for Computing Machinery (ACM),Bit Byte Info Session,20241001T00:00:00Z                 10/01/2024 12:00 AM,ASML,$600.00,,20240829T14:00:57Z                     8/29/2024 2:00:57 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22345,Star Wars Club at UC San Diego,Star Wars Club Fall Kickoff 2024,20241002T00:00:00Z                 10/02/2024 12:00 AM,Red Shoe Room,$216.58,,20240903T15:21:27Z                     9/3/2024 3:21:27 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22346,Association for Computing Machinery (ACM),Bit Byte Speedfriending,20241010T00:00:00Z                 10/10/2024 12:00 AM,SME ASML Room,$600.00,,20240903T16:12:43Z                     9/3/2024 4:12:43 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22347,Association for Computing Machinery (ACM),Hack School #4: Express,20241029T00:00:00Z                 10/29/2024 12:00 AM,Henry Booker Room,$595.00,,20240903T17:46:43Z                     9/3/2024 5:46:43 PM,Final                                                                                                                                      Details
22348,Project in a Box,PiB Fall GBM,20241002T00:00:00Z                 10/02/2024 12:00 AM,EnVision,$498.34,,20240903T15:21:14Z                     9/3/2024 3:21:14 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22349,Project in a Box,PiB Project Committee Week 2,20241009T00:00:00Z                 10/09/2024 12:00 AM,EnVision,$349.11,,20240903T16:09:08Z                     9/3/2024 4:09:08 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22351,Project in a Box,PiB Project Committee Week 4,20241023T00:00:00Z                 10/23/2024 12:00 AM,EnVision,$349.11,,20240903T17:41:40Z                     9/3/2024 5:41:40 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22352,Muslim Student Association,Coffee Social,20241004T00:00:00Z                 10/04/2024 12:00 AM,Matthews Quad,"$1,487.50",,20240903T15:26:37Z                     9/3/2024 3:26:37 PM,Final                                                                                                                                      Details
22353,Alpha Epsilon Delta Pre-Health Professional Honor Society,AED Fall 2024 GBM II,20241030T00:00:00Z                 10/30/2024 12:00 AM,Price Center Theater,$573.69,,20240903T17:49:20Z                     9/3/2024 5:49:20 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22354,Theta Tau at UC San Diego,Theta Tau Professional Night,20241008T00:00:00Z                 10/08/2024 12:00 AM,Student Center Huerta- Vera Cruz,$200.00,,20240903T16:01:17Z                     9/3/2024 4:01:17 PM,Final                                                                                                                                      Details
22355,Malaysian Student Association,MYSA GBM 1 Fall,20241008T00:00:00Z                 10/08/2024 12:00 AM,Price Center Bear Room,$350.00,,20240903T16:01:27Z                     9/3/2024 4:01:27 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22356,Triton Quantitative Trading,TQT Financial Workshop,20241008T00:00:00Z                 10/08/2024 12:00 AM,CSE B225,$152.03,,20240531T18:35:31Z                     5/31/2024 6:35:31 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22357,Triton Quantitative Trading,TQT Quant Workshop,20241004T00:00:00Z                 10/04/2024 12:00 AM,CSE B225,$135.35,,20240531T18:44:26Z                     5/31/2024 6:44:26 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22359,Triton Quantitative Trading,Analysis Workshop,20241011T00:00:00Z                 10/11/2024 12:00 AM,CSE B225,$313.99,,20240531T19:11:18Z                     5/31/2024 7:11:18 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22360,Alpha Epsilon Delta Pre-Health Professional Honor Society,AED Fall GBM 1,20241016T00:00:00Z                 10/16/2024 12:00 AM,Price Center Theatre,$600.00,,20240903T17:33:12Z                     9/3/2024 5:33:12 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22361,Triton Quantitative Trading,Trading Workshop,20241017T00:00:00Z                 10/17/2024 12:00 AM,CSE B225,$178.05,,20240531T19:21:01Z                     5/31/2024 7:21:01 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22362,Triton Quantitative Trading,Trading Strategies Workshop,20241024T00:00:00Z                 10/24/2024 12:00 AM,CSE B225,$231.27,,20240531T19:28:11Z                     5/31/2024 7:28:11 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22363,Project in a Box,PiB Project Committee Week 5,20241030T00:00:00Z                 10/30/2024 12:00 AM,EnVision,$349.11,,20240903T17:49:33Z                     9/3/2024 5:49:33 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22364,Muslim Student Association,GBM 1,20241014T00:00:00Z                 10/14/2024 12:00 AM,PC Ballroom East,"$1,780.71",,20240613T12:16:43Z                     6/13/2024 12:16:43 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22365,SACNAS,SACNAS GBM 1,20241009T00:00:00Z                 10/09/2024 12:00 AM,Green Table Room Price Center,$170.00,,20240903T16:09:19Z                     9/3/2024 4:09:19 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
22366,Triton Tails - Furries at UC San Diego,Triton Tails Fur Kickoff,20241004T00:00:00Z                 10/04/2024 12:00 AM,Price center Bear Room,$184.91,,20240903T15:27:04Z                     9/3/2024 3:27:04 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
