Organization_ID,Organization_Name
LATINX_ADVANCING_IN_MATH_AND_P_01,Latinx Advancing in Math and Physics (LAMP) at UC San Diego
LAUNDRY_LOADS_OF_LOVE_01,Laundry Loads Of Love
LE_FRENCH_CLUB_AT_UC_SAN_DIEGO_01,Le French Club at UC San Diego
LEAGUE_OF_TRITONS_01,League of Tritons
LIVING_STONES_COLLEGE_MINISTRY_01,Living Stones College Ministry
LIVING_WATER_STU_FELLOWSHIP_LW_01,Living Water Student Fellowship (LWSF)
LOTUS_PROJECT_THE_01,"Lotus Project, The"
MEMO_AT_UC_SAN_DIEGO_01,M.E.M.O. at UC San Diego
MIAC_01,MIAC
MAJIANG_AT_UC_SAN_DIEGO_01,Majiang at UC San Diego
MALAYSIAN_STU_ASSOC_01,Malaysian Student Association
MARIACHI_LA_JOYA_DEL_SUR_01,Mariachi La Joya del Sur
MATCHA_MAKERS_ASSOC_AT_UC_SAN__01,Matcha Makers Association at UC San Diego
MAXIMALIST_MAGAZINE_01,Maximalist Magazine
MEDLINK_UC_SAN_DIEGO_01,MedLink @ UC San Diego
MIDDLE_EASTERN_NORTH_AFRICAN_S_01,Middle Eastern & North African Student Association
MITOCHONDRIA_CLUB_AT_UC_SAN_DI_01,Mitochondria Club at UC San Diego
MIXED_STU_UNION_01,Mixed Student Union
MOCK_TRIAL_UC_SAN_DIEGO_01,Mock Trial @ UC San Diego
MODEL_UNITED_NATIONS_AT_UC_SAN_01,Model United Nations at UC San Diego
MOOD_PSYCHOLOGY_UC_SAN_DIEGO_01,Mood Psychology @UC San Diego
MORNING_SIGN_OUT_AT_UC_SAN_DIE_01,Morning Sign Out at UC San Diego
MOVIMIENTO_ESTUDIANTIL_CHICANX_01,Movimiento Estudiantil Chicanx por Activismo (MEChA)
MULTIASIAN_STU_ASSOC_01,Multi-Asian Student Association
MULTIIDENTITY_ART_COLLECTIVE_01,Multi-Identity Art Collective
MULTICULTURAL_GREEK_COUNCIL_01,Multicultural Greek Council
MUSE_DANCE_COMPANY_01,Muse Dance Company
MUSIC_AND_MEMORY_AT_UC_SAN_DIE_01,Music and Memory at UC San Diego
MUSICIANS_CLUB_UC_SAN_DIEGO_01,Musicians Club @ UC San Diego
MUSLIM_STU_ASSOC_01,Muslim Student Association
MUSLIM_TECH_COLLABORATIVE_AT_U_01,Muslim Tech Collaborative at UC San Diego
NANOENG_AND_TECHNOLOGY_SOCIETY_01,NanoEngineering and Technology Society
NATIONAL_ALLIANCE_ON_MENTAL_IL_01,National Alliance on Mental Illness @ UC San Diego
NATIONAL_ARAB_AMERICAN_MEDICAL_01,National Arab American Medical Association (NAAMA) NextGen
NATIVE_AMERICAN_AND_INDIGENOUS_01,Native American and Indigenous Student Alliance (NAISA) (Previously Native American Student Alliance)
NEW_LIFE_STU_MINISTRY_01,New Life Student Ministry
