FIN-ID #,ORGANIZATION,NAME OF EVENT,DATE,VENUE,AWARDED,TRANSACTION ID,UPDATED,
20152,American Chemical Society Student Affiliates (ACSSA),ACSSA Week 9 GBM,20231129T00:00:00Z                 11/29/2023 12:00 AM,Natural Sciences Building,$599.99,,20230927T14:38:04Z                     9/27/2023 2:38:04 PM,Final                                                                                                                                      Details
20153,American Chemical Society Student Affiliates (ACSSA),ACSSA Week 10 GBM,20231206T00:00:00Z                 12/06/2023 12:00 AM,Natural Sciences Building,$600.00,,20230927T14:38:11Z                     9/27/2023 2:38:11 PM,Final                                                                                                                                      Details
20154,Undergraduate Women in Computing at UC San Diego,Mentor/Mentee Reveal,20231109T00:00:00Z                 11/09/2023 12:00 AM,ASML Room,$305.32,,20230927T15:15:11Z                     9/27/2023 3:15:11 PM,Final                                                                                                                                      Details
20155,Undergraduate Women in Computing at UC San Diego,WIC Holiday Social,20231204T00:00:00Z                 12/04/2023 12:00 AM,Qualcomm Room,$108.29,,20230927T15:24:17Z                     9/27/2023 3:24:17 PM,Final                                                                                                                                      Details
20156,Undergraduate Women in Computing at UC San Diego,"GBM #3 - ""Plushie Palooza: Crafting for Kids in Need & Tasty Eats!""",20231115T00:00:00Z                 11/15/2023 12:00 AM,ASML Room,$600.00,,20230927T15:32:07Z                     9/27/2023 3:32:07 PM,Final                                                                                                                                      Details
20157,Symphonic Student Association,Violin Masterclass With Xiaoxuan Shi,20231107T00:00:00Z                 11/07/2023 12:00 AM,CPMC 127,$200.00,,20231017T11:44:30Z                     10/17/2023 11:44:30 AM,Final                                                                                                                                      Details                                                                                         Post-Eval
20158,Undergraduate Women in Computing at UC San Diego,EDGE College Workshop,20231111T00:00:00Z                 11/11/2023 12:00 AM,Qualcomm Room,$545.74,,20230927T15:55:57Z                     9/27/2023 3:55:57 PM,Final                                                                                                                                      Details
20159,Pandora Forum at UC San Diego,Pandora Forum Movie Night,20231108T00:00:00Z                 11/08/2023 12:00 AM,Price Center Theater,$600.04,,20230928T22:17:53Z                     9/28/2023 10:17:53 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20160,Undergraduate Economics Society at UC San Diego,Rady Collaboration about Masters of Finance and Masters of Business Analytics Program,20231108T00:00:00Z                 11/08/2023 12:00 AM,Wells Fargo Hall 1N108,$184.13,,20230927T16:59:08Z                     9/27/2023 4:59:08 PM,Final                                                                                                                                      Details
20161,Undergraduate Women in Computing at UC San Diego,BPC Commit(tea) Work Day,20231127T00:00:00Z                 11/27/2023 12:00 AM,Qualcomm Room,$76.45,,20231005T14:09:54Z                     10/5/2023 2:09:54 PM,Final                                                                                                                                      Details
20162,UNICEF Club @ UC San Diego,Fall GBM 2,20231127T00:00:00Z                 11/27/2023 12:00 AM,Price Center West- Marshall College Room,$283.94,,20231010T12:55:50Z                     10/10/2023 12:55:50 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20163,Intermission Orchestra,The Intermission Orchestra Fall 2023 Concert,20231209T00:00:00Z                 12/09/2023 12:00 AM,PC Ballroom West AB,$762.50,,20230928T09:08:23Z                     9/28/2023 9:08:23 AM,Final                                                                                                                                      Details                                                                                         Post-Eval
20164,Triton Engineering Student Council,DECaF Fall 2023,20231106T00:00:00Z                 11/06/2023 12:00 AM,Price Center West Ballroom,$636.30,,20230928T11:00:24Z                     9/28/2023 11:00:24 AM,Final                                                                                                                                      Details
20165,Undergraduate Bioinformatics Club (UBIC),LinkedIn / Resume Workshop,20231108T00:00:00Z                 11/08/2023 12:00 AM,PFBH 391,$96.00,,20230928T14:14:37Z                     9/28/2023 2:14:37 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20166,Undergraduate Bioinformatics Club (UBIC),Workshop: Python libs for bioinformatics and state-of-the-art solutions,20231109T00:00:00Z                 11/09/2023 12:00 AM,PFBH 291,$96.00,,20230928T14:15:38Z                     9/28/2023 2:15:38 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
