ORG_ID,FIN-ID #,ORGANIZATION,NAME OF EVENT,DATE,VENUE,AWARDED,TRANSACTION ID,UPDATED
STU_INVOLVEMENT_LEADERSHIP_CON_01,17607,Student Involvement Leadership Consultant (SILC),Tasting Student Org (Triton Involvement Day),04/13/2023 12:00 AM,Library Walk,"$4,857.18",,2/27/2023 5:33:06 PM
ASSOC_FOR_COMP_MACHINERY_ACM_01,18625,Association for Computing Machinery (ACM),ACMovie Night,04/13/2023 12:00 AM,Henry Booker Room,$443.12,,3/6/2023 2:32:35 PM
AMERICAN_MEDICAL_STU_ASSOC_01,18627,American Medical Student Association,Spring GBM 1,04/13/2023 12:00 AM,PC West Theater,$200.00,,2/27/2023 5:33:25 PM
BEAUTIFUL_MIND_PROJECT_UC_SAN__01,18643,Beautiful Mind Project @ UC San Diego,Iftar 4/13,04/13/2023 12:00 AM,SSC Matthews Quad,"$2,609.02",,2/27/2023 5:34:57 PM
KAIBIGANG_PILIPIN_01,18645,Kaibigang Pilipin@,Magkasama: Bayanihan,04/13/2023 12:00 AM,PC East Ballroom,"$3,000.00",,3/6/2023 2:33:15 PM
ECE_EVENT_COLLABORATION_BOARD_01,18635,ECE Event Collaboration Board,ECE Day,04/14/2023 12:00 AM,warren mall,"$3,000.00",,2/27/2023 5:36:43 PM
CHEESE_CLUB_01,18641,Cheese Club,Arts and Crafts Night,04/14/2023 12:00 AM,Student C. Stage Room & Patio,$429.31,,2/27/2023 5:38:33 PM
ETA_KAPPA_NU_HKN_01,18615,Eta Kappa Nu (HKN),HARD Hack 2023 (Day 1),04/15/2023 12:00 AM,"Qualcomm Room, Henry Booker Room, EBU1 Rooms 2315, 2509, 2511","$2,361.44",,2/27/2023 5:39:24 PM
SOCIETY_OF_WOMEN_ENGINEERS_SWE_01,18642,Society of Women Engineers (SWE),Girls Day Out,04/15/2023 12:00 AM,Warren Bear Lawn,"$2,860.23",,4/2/2023 6:18:00 PM
TRITONES_AT_UC_SAN_DIEGO_01,17575,Tritones at UC San Diego,Tritones Arranging Workshop,04/16/2023 12:00 AM,Green Table Room,$500.00,,2/27/2023 5:40:05 PM
ASCENSION_COMPETITIVE_DANCE_TE_01,17591,Ascension Competitive Dance Team,College Drop,04/16/2023 12:00 AM,PC East Ballroom,"$1,190.00",,2/27/2023 5:41:05 PM
ETA_KAPPA_NU_HKN_01,18618,Eta Kappa Nu (HKN),HARD Hack 2023 (Day 2),04/16/2023 12:00 AM,"Qualcomm Room, Henry Booker Room, EBU1 Rooms 2315, 2509, 2511",$600.22,,2/27/2023 5:44:26 PM
MULTIASIAN_STU_ASSOC_01,18619,Multi-Asian Student Association,MASA Bento Making,04/16/2023 12:00 AM,PC West Bear Room,$488.67,,2/27/2023 5:42:28 PM
ECOLOGY_BEHAVIOR_AND_EVOLUTION_01,* 17580,"Ecology, Behavior and Evolution Club at UC San Diego",Graduate Student Meet and Greet,04/17/2023 12:00 AM,Red Shoe Room,,,2/27/2023 5:43:42 PM
ASSOC_FOR_COMP_MACHINERY_ACM_01,18633,Association for Computing Machinery (ACM),ACM Study Jam,04/17/2023 12:00 AM,Design and Innovation Building 202/208,$287.50,,3/6/2023 2:33:30 PM
MUSLIM_STU_ASSOC_01,18651,Muslim Student Association,MSA Iftar 4/17,04/17/2023 12:00 AM,PC West Ballroom,"$2,480.73",,3/6/2023 2:34:28 PM
ASIAN_AND_PACIFIC_ISLANDER_STU_01,18664,Asian and Pacific Islander Student Alliance (APSA),GBM 2,04/17/2023 12:00 AM,Price Center: Cross Cultural Center,$265.98,,3/13/2023 2:08:53 PM
UNDERGRADUATE_WOMEN_IN_COMP_AT_01,18634,Undergraduate Women in Computing at UC San Diego,Gartic Paper Draw and Guess,04/18/2023 12:00 AM,ASML Conference Room,$76.50,,2/27/2023 5:45:43 PM
ASSOC_FOR_COMP_MACHINERY_ACM_01,18661,Association for Computing Machinery (ACM),Intro to the Julia Language,04/18/2023 12:00 AM,Qualcomm Room,$394.33,,3/6/2023 2:34:59 PM
BEAUTIFUL_MIND_PROJECT_UC_SAN__01,18673,Beautiful Mind Project @ UC San Diego,Iftar 4/18,04/18/2023 12:00 AM,Multipurpose Room,"$2,913.79",,3/6/2023 2:35:56 PM
AMERICAN_CHEMICAL_SOCIETY_STU__01,17563,American Chemical Society Student Affiliates (ACSSA),ACSSA Week 3 GBM,04/19/2023 12:00 AM,Natural Sciences Building,$896.92,,2/14/2023 10:09:54 AM
PROJECT_IN_A_BOX_01,18654,Project in a Box,PiB Project Committee,04/19/2023 12:00 AM,EnVision,$498.34,,3/6/2023 2:36:33 PM
BEAUTIFUL_MIND_PROJECT_UC_SAN__01,18674,Beautiful Mind Project @ UC San Diego,Iftar 4/19,04/19/2023 12:00 AM,SSC Matthews Quad,"$1,775.17",,3/6/2023 2:37:40 PM
AHLULBAYT_STU_ASSOC_01,18628,Ahlul-Bayt Student Association,ABSA Iftar 3,04/20/2023 12:00 AM,PC West Bear Room,$500.00,,3/6/2023 2:37:52 PM
ASSOC_FOR_COMP_MACHINERY_ACM_01,18649,Association for Computing Machinery (ACM),Intro to Go,04/20/2023 12:00 AM,Henry Booker Room,$334.03,,3/6/2023 2:38:19 PM
SOCIETY_OF_ASIAN_SCIENTISTS_AN_01,18658,Society of Asian Scientists and Engineers at UC San Diego,KGI Info Session,04/20/2023 12:00 AM,PC West Red Shoe Room,$29.56,,3/6/2023 2:38:48 PM
BIOMEDICAL_ENG_SOCIETY_BMES_01,18667,Biomedical Engineering Society (BMES),BMES Spring GBM #1,04/20/2023 12:00 AM,Powell-Focht Bioengineering Hall Fung Auditorium,$749.94,,3/6/2023 2:39:02 PM
AMERICAN_INSTITUTE_OF_CHEMICAL_01,18672,American Institute of Chemical Engineers (AIChE),FamilE Board Game Night,04/20/2023 12:00 AM,SME 248,$249.98,,3/6/2023 2:45:19 PM
MORNING_SIGN_OUT_AT_UC_SAN_DIE_01,18677,Morning Sign Out at UC San Diego,General Body Meeting #1,04/20/2023 12:00 AM,Eleanor Roosevelt College Room,$142.04,,3/13/2023 2:09:09 PM
DEEJAYS_AND_VINYLPHILES_CLUB_01,* 18657,Deejays and Vinylphiles Club,DVC Presents: LOFT LANDS,04/21/2023 12:00 AM,The Loft,"$3,287.24",,4/19/2023 4:42:15 PM
ASSOC_FOR_COMP_MACHINERY_ACM_01,18650,Association for Computing Machinery (ACM),ACM AI Technical Workshop #1,04/21/2023 12:00 AM,Qualcomm Room,$835.06,,3/6/2023 2:43:47 PM
PROJECT_IN_A_BOX_01,18652,Project in a Box,Project Series - collab with IEEE,04/21/2023 12:00 AM,Envision,$240.21,,3/6/2023 2:43:58 PM
TRITON_SOFTWARE_ENG_01,18669,Triton Software Engineering,Leetcode Workshop,04/21/2023 12:00 AM,Price Center West - Eleanor Roosevelt College Room,$557.07,,3/6/2023 2:45:34 PM
BIOLOGICAL_SCIS_STU_ASSOC_01,18670,Biological Sciences Student Association,BSSA Spring GBM Carnival,04/21/2023 12:00 AM,Multi Purpose Room,$888.07,,3/6/2023 2:46:55 PM
VIETNAMESE_STU_ASSOC_01,18659,Vietnamese Student Association,Vietnamese Culture Night,04/22/2023 12:00 AM,Mandeville Auditorium,"$5,518.80",,3/13/2023 2:10:53 PM
ETA_KAPPA_NU_HKN_01,18668,Eta Kappa Nu (HKN),HKN Spring Induction Ceremony,04/23/2023 12:00 AM,Henry Booker Room,$788.92,,3/6/2023 2:47:48 PM
SANGAMSD_01,18717,SangamSD,SangamSD 2023 Culture Show,04/23/2023 12:00 AM,Mandeville Auditorium,"$5,615.00",,4/2/2023 6:19:24 PM
UNDERGRADUATE_WOMEN_IN_COMP_AT_01,18636,Undergraduate Women in Computing at UC San Diego,Succulent Social,04/24/2023 12:00 AM,ASML Conference Room,$71.38,,3/6/2023 2:48:14 PM
ASSOC_FOR_COMP_MACHINERY_ACM_01,18693,Association for Computing Machinery (ACM),ACM Cafe,04/24/2023 12:00 AM,CSE 4140,$297.35,,3/13/2023 2:11:25 PM
UNDERGRADUATE_WOMEN_IN_COMP_AT_01,18708,Undergraduate Women in Computing at UC San Diego,WIC x SWE Friendship Bracelet Making Social,04/24/2023 12:00 AM,ASML Conference Room,$51.70,,3/13/2023 2:11:58 PM
AHLULBAYT_STU_ASSOC_01,18698,Ahlul-Bayt Student Association,ABSA Eid-ul-Fitr Giveaway,04/25/2023 12:00 AM,PC West Green Table Room,$406.00,,3/13/2023 2:12:16 PM
AMERICAN_CHEMICAL_SOCIETY_STU__01,17586,American Chemical Society Student Affiliates (ACSSA),ACSSA Week 4 GBM,04/26/2023 12:00 AM,Natural Sciences Building,$896.92,,3/6/2023 2:53:57 PM
PROJECT_IN_A_BOX_01,18655,Project in a Box,PiB Project Committee,04/26/2023 12:00 AM,EnVision,$498.34,,3/6/2023 2:54:10 PM
BRAIN_EXERCISE_INITIATIVE_THE_01,18665,"Brain Exercise Initiative, The",BEI Movie Night Spring 2023,04/26/2023 12:00 AM,PC West Green Table Room,$184.68,,3/13/2023 2:13:09 PM
BIOMEDICAL_ENG_SOCIETY_BMES_01,18687,Biomedical Engineering Society (BMES),BMES Spring Quarter Study Social,04/26/2023 12:00 AM,Powell-Focht Bioengineering Hall Rm 291,$230.75,,3/13/2023 2:13:26 PM
NANOENG_AND_TECHNOLOGY_SOCIETY_01,18688,NanoEngineering and Technology Society,NETS Spring GBM,04/26/2023 12:00 AM,SME 248,$352.00,,3/13/2023 2:13:41 PM
ASSOC_FOR_COMP_MACHINERY_ACM_01,18694,Association for Computing Machinery (ACM),POV: How I Learned to Program w/ Professor Politz,04/26/2023 12:00 AM,CSE 1202,$334.03,,3/13/2023 2:14:06 PM
ALPHA_EPSILON_DELTA_PREHEALTH__01,18699,Alpha Epsilon Delta Pre-Health Professional Honor Society,AED Spring GBM 2,04/26/2023 12:00 AM,Price Center West - Theater,$625.94,,3/13/2023 2:14:27 PM
MUSLIM_STU_ASSOC_01,18701,Muslim Student Association,Dawah Table,04/26/2023 12:00 AM,Library Walk,$145.19,,4/14/2023 8:22:30 AM
MUSLIM_STU_ASSOC_01,18702,Muslim Student Association,Fundraising Table,04/26/2023 12:00 AM,Library Walk,$140.59,,3/13/2023 2:21:14 PM
ASSOC_FOR_COMP_MACHINERY_ACM_01,18695,Association for Computing Machinery (ACM),Design Social 1,04/27/2023 12:00 AM,PC Bear Room,$119.90,,3/13/2023 2:21:33 PM
AMERICAN_MEDICAL_STU_ASSOC_01,18697,American Medical Student Association,Spring GBM2,04/27/2023 12:00 AM,PC West Earl Warren College Room,$125.11,,3/13/2023 2:23:46 PM
INSTITUTE_OF_ELECTRICAL_AND_EL_02,18705,Institute of Electrical and Electronics Engineers (IEEE),Quantum Computing x IEEE: Intro to Quantum Computing with Python,04/27/2023 12:00 AM,"Jacobs Hall, Classroom 2315",$257.42,,3/13/2023 2:21:54 PM
KAPPA_KAPPA_GAMMA_01,17574,Kappa Kappa Gamma,Kappa Kapture the Flag,04/28/2023 12:00 AM,Marshall Field,"$5,450.00",,2/27/2023 5:46:23 PM
KAIBIGANG_PILIPIN_01,18607,Kaibigang Pilipin@,Pilipin@ Cultural Celebration 2023,04/28/2023 12:00 AM,Mandeville Auditorium,"$4,617.18",,4/9/2023 8:25:50 PM
TRITONTHENIX_01,18685,TritonThenix,TritonThenix Big Little Event,04/28/2023 12:00 AM,Bear Room,$507.21,,4/2/2023 6:20:41 PM
ASSOC_FOR_COMP_MACHINERY_ACM_01,18696,Association for Computing Machinery (ACM),Hack Placeholder I,04/28/2023 12:00 AM,Henry Booker Room,$366.35,,3/13/2023 2:22:56 PM
TRITON_SOFTWARE_ENG_01,18703,Triton Software Engineering,Triton Software Engineering SP'23 All Hands 1,04/28/2023 12:00 AM,CSE 1202,$900.00,,3/13/2023 2:23:10 PM
CHEESE_CLUB_01,18704,Cheese Club,Charcuterie Board Competition,04/28/2023 12:00 AM,PC West Green Table Rm,$129.54,,3/13/2023 2:27:48 PM
UNDERGRADUATE_WOMEN_IN_COMP_AT_01,18706,Undergraduate Women in Computing at UC San Diego,Coffee Chats w/ Professor Mia Minnes,04/28/2023 12:00 AM,Qualcomm Room,$63.00,,3/13/2023 2:28:08 PM
KAIBIGANG_PILIPIN_01,18690,Kaibigang Pilipin@,Pilipin@ Cultural Celebration 2023,04/29/2023 12:00 AM,Mandeville Auditorium,"$5,978.59",,4/9/2023 8:28:03 PM
UNDERGRADUATE_INVESTMENT_SOCIE_01,18729,Undergraduate Investment Society,18th Annual Financial Horizon's Conference,04/29/2023 12:00 AM,"Rady School of Management - Beyster Hall, MPR1, Wells Fargo Hall 1N108, Otterson Hall 1S113","$3,283.02",,4/9/2023 8:29:14 PM
PILIPINX_UNDERGRADUATE_SOCIETY_01,18692,Pilipinx Undergraduate Society for Health,PUSH Health Summit Workshop Day,04/30/2023 12:00 AM,UCSD Cross-Cultural Center Comunidad,$484.28,,4/9/2023 8:30:32 PM
WOMEN_IN_BUSINESS_01,18700,Women in Business,Spring Formal,04/30/2023 12:00 AM,Price Center East Ballroom,"$2,954.50",,4/9/2023 8:33:11 PM
ASSOC_FOR_COMP_MACHINERY_ACM_01,18724,Association for Computing Machinery (ACM),ACM Study Jam,05/01/2023 12:00 AM,Design and Innovation Building 202,$287.50,,4/4/2023 6:03:19 PM
QUANTUM_COMP_AT_UC_SAN_DIEGO_01,18731,Quantum Computing at UC San Diego,Quantum Computing at UCSD: Grover’s Algorithm,05/01/2023 12:00 AM,PC West Earl Warren Rm,$144.65,,4/4/2023 6:03:28 PM
INSTITUTE_OF_ELECTRICAL_AND_EL_02,18733,Institute of Electrical and Electronics Engineers (IEEE),Classroom Convos #2,05/01/2023 12:00 AM,SME 302,$108.83,,4/4/2023 6:03:42 PM
SOCIETY_OF_ASIAN_SCIENTISTS_AN_01,18611,Society of Asian Scientists and Engineers at UC San Diego,SPRING GBM #2,05/02/2023 12:00 AM,Qualcomm Conference Center,$853.92,,2/27/2023 5:47:01 PM
INSTITUTE_OF_ELECTRICAL_AND_EL_02,18711,Institute of Electrical and Electronics Engineers (IEEE),IEEE: Things I Knew as an Undergraduate,05/02/2023 12:00 AM,Henry Booker Conference Room,$96.39,,4/4/2023 6:04:17 PM
ASSOC_FOR_COMP_MACHINERY_ACM_01,18725,Association for Computing Machinery (ACM),ACM AI Social #1,05/02/2023 12:00 AM,PC Eleanor Roosevelt Room,$173.25,,4/4/2023 6:04:31 PM
THE_GENERAL_STORE_COOP_01,18732,The General Store Co-op,General Store Craft Night,05/02/2023 12:00 AM,The General Store Cooperative,$111.25,,4/4/2023 6:04:50 PM
ERITREAN_ETHIOPIAN_STU_ASSOC_01,18738,Eritrean & Ethiopian Student Association,EESA Study Jam,05/02/2023 12:00 AM,Price Center East Governance Chambers,$113.40,,4/4/2023 6:05:22 PM
UNDERGRADUATE_WOMEN_IN_COMP_AT_01,17603,Undergraduate Women in Computing at UC San Diego,Roles in Computer Science Industry,05/03/2023 12:00 AM,Qualcomm Room,$12.88,,2/27/2023 5:47:19 PM
PROJECT_IN_A_BOX_01,18656,Project in a Box,PiB Project Committee,05/03/2023 12:00 AM,EnVision,$498.34,,3/6/2023 2:54:23 PM
BIOMEDICAL_ENG_SOCIETY_BMES_01,18719,Biomedical Engineering Society (BMES),Bioengineering Day 2023,05/03/2023 12:00 AM,"PC West Ballroom AB + Foyer, PC East Ballroom + Foyer, PC West ERC Rm, PC East John Muir Rm, PC West Revelle Coll Rm, RC West Marshall Rm","$4,491.17",,4/4/2023 6:06:00 PM
MUSLIM_STU_ASSOC_01,18722,Muslim Student Association,GBM #2,05/03/2023 12:00 AM,Multi-Purpose Room,"$1,900.00",,4/4/2023 6:06:22 PM
ASSOC_FOR_COMP_MACHINERY_ACM_01,18726,Association for Computing Machinery (ACM),Portfolio Website Building,05/03/2023 12:00 AM,Henry Booker Room,$463.33,,4/4/2023 6:06:56 PM
AMERICAN_INSTITUTE_OF_CHEMICAL_01,18730,American Institute of Chemical Engineers (AIChE),LaTeX Workshop,05/03/2023 12:00 AM,SME 248,$215.39,,4/4/2023 6:07:06 PM
UNDERGRADUATE_WOMEN_IN_COMP_AT_01,18682,Undergraduate Women in Computing at UC San Diego,Coffee Chats w/ Professor Shannon Ellis,05/04/2023 12:00 AM,Qualcomm Room,$63.00,,3/13/2023 2:29:39 PM
GRAPHITE_01,18710,Graphite,Welcome Back Social,05/04/2023 12:00 AM,NSB Atrium and Auditorium,$464.48,,4/4/2023 6:08:11 PM
SYMPHONIC_STU_ASSOC_01,18713,Symphonic Student Association,Paul Tseng Masterclass,05/04/2023 12:00 AM,Conrad Prebys Music Center,$200.00,,4/4/2023 6:08:19 PM
DEEJAYS_AND_VINYLPHILES_CLUB_01,* 18675,Deejays and Vinylphiles Club,DVC & SWC Presents: REVENGE of the FIFTH,05/05/2023 12:00 AM,The Stageroom,"$6,000.00",,4/4/2023 6:20:54 PM
ASSOC_FOR_COMP_MACHINERY_ACM_01,18727,Association for Computing Machinery (ACM),Hack Event 2,05/05/2023 12:00 AM,Design and Innovation Building 202,$463.33,,4/4/2023 6:21:12 PM
MUSLIM_STU_ASSOC_01,* 18728,Muslim Student Association,Tarbiyyah Seminar,05/07/2023 12:00 AM,Multi-Purpose Room,"$1,610.00",,4/4/2023 6:24:20 PM
BRIDGING_THE_GAP_01,18736,Bridging the Gap,URiM (Underrepresented in Medicine) Conference,05/07/2023 12:00 AM,Price Center West Theater and Price Center West Plaza at UCSD,"$2,453.78",,4/4/2023 6:24:39 PM
MUSLIM_STU_ASSOC_01,18737,Muslim Student Association,"MSA Conference(CSC, Fundraising)",05/07/2023 12:00 AM,Matthews Quad,"$2,565.88",,4/4/2023 6:25:09 PM
OUT_IN_SCI_TECHNOLOGY_ENG_AND__01,18686,"Out in Science, Technology, Engineering, and Mathematics (oSTEM)",GBM 2: Gayme Night,05/08/2023 12:00 AM,LGBT Resource Center,$33.94,,3/13/2023 2:29:58 PM
UNDERGRADUATE_WOMEN_IN_COMP_AT_01,18707,Undergraduate Women in Computing at UC San Diego,Coffee Chats w/ Professor Amari Lewis,05/08/2023 12:00 AM,Qualcomm Room,$63.00,,3/13/2023 2:35:28 PM
UNDERGRADUATE_WOMEN_IN_COMP_AT_01,18709,Undergraduate Women in Computing at UC San Diego,WIC FAM trivia night,05/08/2023 12:00 AM,ASML Conference Room,$26.47,,3/13/2023 2:36:05 PM
MUSLIM_STU_ASSOC_01,18754,Muslim Student Association,JIP Library Walk Tabling DAY 1,05/08/2023 12:00 AM,Library Walk,"$1,432.83",,4/7/2023 12:02:17 PM
MUSLIM_STU_ASSOC_01,18758,Muslim Student Association,JIP Night Event Day 1,05/08/2023 12:00 AM,PC West Ballroom,"$2,995.41",,4/19/2023 8:10:20 PM
BIOLOGICAL_SCIS_STU_ASSOC_01,18766,Biological Sciences Student Association,LinkedIn Workshop,05/08/2023 12:00 AM,Bonner Hall 2130,$204.15,,4/7/2023 12:02:59 PM
UNDERGRADUATE_WOMEN_IN_COMP_AT_01,18666,Undergraduate Women in Computing at UC San Diego,GBM #2: Notion x WIC,05/09/2023 12:00 AM,Qualcomm Room,$310.00,,3/6/2023 2:55:04 PM
